a 	a1
train	xe lửa, tàu hỏa; dạy, rèn luyện, đào tạo
transfer	dời, di chuyển; sự di chuyển, sự dời chỗ
transform	thay đổi, biến đổi
translate	dịch, biên dịch, phiên dịch
translation	sự dịch
transparent	trong suốt; dễ hiểu, sáng sủa
transportation	sự vận chuyển, sự vận tải; phương tiện đi lại
transport	chuyên chở, vận tải
trap	đồ đạc, hành lý; bẫy, cạm bãy; bẫy, giữ, chặn lại
traveller	người đi, lữ khách
travel	đi du lịch, di chuyển; sự đi, những chuyến đi
treatment	sự đối xử, sự cư xử
treat	đối xử, đối đãi, cư xử
tree	cây
trend	phương hướng, xu hướng, chiều hướng
trial	sự thử nghiệm, cuộc thử nghiệm
triangle	hình tam giác
trick	mưu mẹo, thủ đoạn, trò lừa gatj; lừa, lừa gạt
trillion	một tỉ tỉ
trip	cuộc dạo chơi, cuộc du ngoạn; đi dạo, du ngoạn
tropical	nhiệt đới
trouble	điều lo lắng, điều muộn phiền
trousers	quần
truck	rau quả tươi
true	đúng, thật
truly	đúng sự thật, đích thực, thực sự
trust	niềm tin, sự phó thác; tin, tin cậy, phó thác
truth	sự thật
try	thử, cố gắng
tube	ống, tuýp
Tuesday	thứ 3
tune	điệu, giai điệu; lên dây, so dây (đàn)
tunnel	đường hầm, hang
turn	quay, xoay, vặn; sự quay, vòng quay
TV	vô tuyến truyền hình
twelve	mười hai
twenty	hai mươi
twice	hai lần
twin	sinh đôi, tạo thành cặp; cặp song sinh
twisted	được xoắn, được cuộn
twist	xoắn, cuộn, quắn; sự xoắn, vòng xoắn
two	hai
type	loại, kiểu, mẫu; phân loại, xếp loại
typically	điển hình, tiêu biểu
typical	tiêu biểu, điển hình, đặc trưng
tyre	lốp, vỏ xe
ugly	xấu xí, xấu xa
ultimately	cuối cùng, sau cùng
ultimate	cuối cùng, sau cùng
umbrella	ô, dù
unable	không thể, không có năng lực, không có tài
unacceptable	không thể chấp nhận
uncertain	thiếu chính xác, không chắc chắn
uncle	chú, bác
uncomfortable	bất tiện, khó chịu, không thoải mái
unconscious	bất tỉnh, không có ý thức, không biết rõ
uncontrolled	không bị kiểm tra, không bị hạn chế
underground	dưới mặt đất, ngầm dưới đất; ngầm
underneath	dưới, bên dưới
understanding	trí tuệ, sự hiểu biết
understand	hiểu, nhận thức
under	dưới, ở dưới; ở phía dưới, về phía dưới
underwater	ở dưới mặt nước, dưới mặt nước
underwear	quần lót
undo	tháo, gỡ; xóa bỏ, hủy bỏ
unemployed	thất nghiệp; không dùng, không sử dụng được
unemployment	sự thất nghiệp, nạn thất nghiệp
unexpected	bất ngờ, gây ngạc nhiên
unfair	gian lận, không công bằng; bất lợi
unfortunately	một cách đáng tiếc, một cách không may
unfortunate	không may, rủi ro, bất hạnh
unfriendly	không thân thiện, không có thiện cảm
unhappy	buồn rầu, khốn khổ
uniform	đồng phục; đều, giống nhau, đồng dạng
unimportant	không quan trọng, không trọng đại
union	liên hiệp, sự đoàn kết, sự hiệp nhất
unique	độc nhất vô nhị
united	liên minh, đoàn kết, chung, thống nhất
unite	liên kết, hợp nhất, hợp lại, kết thân
unit	đơn vị
universe	vũ trụ
university	trường đại học
unkind	không tử tế, không tốt, độc ác, tàn nhẫn
unknown	không biết, không được nhận ra
unless	trừ phi, trừ khi, nếu không
unlikely	không thể xảy ra, không chắc xảy ra
unlike	khác, không giống
unload	cất gánh nặng, dỡ hàng, tháo hàng
unlucky	không gặp may, bất hạnh
unnecessary	không cần thiết, không mong muốn
unpleasant	không dễ chịu, khó chịu, khó ưa
unreasonable	vô lý
unsteady	không chắc, không ổn định
unsuccessful	không thành công, thất bại
untidy	không gọn gàng,không ngăn nắp, lộn xộn
until	trước khi, cho đến khi
unusually	cực kỳ, khác thường 
unusual	hiếm, khác thường, đáng chú ý
unwilling	không sẵn lòng, miễn cưỡng
upon	trên, ở trên
upper	cao hơn
upsetting	tính đánh đổ, làm đổ
upset	làm đổ, đánh đổ
upside-down	lộn ngược
upstairs	ở tên gác, cư ngụ ở tầng gác; tầng trên, gác
up	ở trên, lên trên, lên
upwards	lên
upward	lên, hướng lên, đi lên
urban	(thuộc) thành phố, khu vực
urgent	gấp, khẩn cấp
urge	thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc
used-to	thường
used	đã dùng, đã sử dụng
useful	hữu ích, giúp ích
useless	vô ích, vô dụng
user	người dùng, người sử dụng
use	sử dụng, dùng; sự dùng, sự sử dụng
usually	thường thường
usual	thông thường, thường dùng
us	chúng tôi, chúng ta; tôi và anh
vacation	kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ
valid	chắc chắn, hiệu quả, hợp lý
valley	thung lũng
valuable	có giá trị lớn, đáng giá
value	giá trị, ước tính, định giá
van	tiền đội, quân tiên phong; xe tải
variation	sự biến đổi, sự thay đổi mức độ, sự khác nhau
varied	thuộc nhiều loại khác nhau, những vẻ đa dạng
variety	sự đa dạng, trạng thái khác nhau
various	khác nhau, thuộc về nhiều loại
vary	thay đổi, làm cho khác nhau, biến đổi
vast	rộng lớn, mênh mông
vegetable	rau, thực vật
vehicle	xe cộ
venture	công việc kinh doanh; liều, mạo hiểm, cả gan
version	bản dịch sang một ngôn ngữ khác
vertical	thẳng đứng, đứng
very	rất, lắm
via	qua, theo đường
victim	nạn nhân
victory	chiến thắng
video	video
view	sự nhìn, tầm nhìn; nhìn thấy, xem, quan sát
village	làng, xã
violence	sự ác liệt, sự dữ dội; bạo lực
violently	mãnh liệt, dữ dội
violent	mãnh liệt, mạnh mẽ, hung dữ
virtually	thực sự, hầu như, gần như
virus	vi rút
visible	hữu hình, thấy được
vision	sự nhìn, thị lực
visitor	khách, du khách
visit	đi thăm hỏi, tham quan;sự thăm viếng
vital	(thuộc) sự sống, cần cho sự sống
vocabulary	từ vựng
voice	tiếng, giọng nói
volume	thế tích, quyển, tập
vote	sự bỏ phiếu, sự bầu cử; bỏ phiếu, bầu cử
wage	tiền lương, tiền công
waist	eo, chỗ thắt lưng
waiter	người hầu bàn, người đợi, người trông chờ
wait	chờ đợi
wake	thức dậy, tỉnh thức
walking	sự đi, sự đi bộ
walk	đi, đi bộ; sự đi bộ, sự đi dạo
wallet	cái ví
wall	tường, vách
wander	đi lang thang; sự đi lang thang
want	muốn
warmth	trạng thái ấm, sự ấm áp; hơi ấm
warm	ấm, ấm áp; làm cho nóng, hâm nóng
warning	sự báo trước, lời cảnh báo
warn	báo cho biết, cảnh báo
war	chiến tranh
washing	sự tắm rửa, sự giặt
wash	rửa, giặt
waste	uổng phí; vùng hoang vu, sa mạc; bỏ hoang
watch	theo dõi, quan sát; sự canh gác, sự canh phòng
water	nước
wave	sóng, gợn nước; gợn sóng, uốn thành sóng
way	đường, đường đi
weakness	tình trạng yếu đuối, yếu ớt
weak	yếu, yếu ớt
wealth	sự giàu có, sự giàu sang
weapon	vũ khí
wear	mặc, mang, đeo
weather	thời tiết
website	không gian liên tới với internet 
web	mạng, lưới
wedding	lễ cưới, hôn lễ
Wednesday	thứ 4
weekend	cuối tuần
week	tuần, tuần lễ
weight	trọng lượng
weigh	cân, cân nặng
welcome	chào mừng, hoan nghênh
well-known	nổi tiếng, được nhiều người biết đến
well	tốt, giỏi; ôi, may quá!
western	về phía tây, của phía tây
west	phía Tây, theo phía tây, về hướng tây
wet	ướt, ẩm ướt
we	chúng tôi, chúng ta
whatever	bất cứ thứ gì, bất kể thứ gì
what	gì, thế nào
wheel	bánh xe
whenever	bất cứ lúc nào, lúc nào
when	khi, lúc, vào lúc nào
whereas	nhưng ngược lại, trong khi
wherever	ở bất cứ nơi nào,ở bất cứ nơi đâu
where	đâu, ở đâu; nơi mà
whether	có..không; có... chăng; không biết có.. không
which	nào, bất cứ.. nào; ấy, đó
while	trong lúc, trong khi; lúc, chốc, lát
whisper	nói thì thầm; tiếng nói thì thầm, tiếng xì xào
whistle	sự huýt sáo, sự thổi còi; huýt sáo, thổi còi
white	trắng; màu trắng
whoever	ai, người nào, bất cứ ai, bất cứ người nào, dù ai
whole	bình an vô sự; toàn bộ, tất cả, toàn thể
whom	ai, người nào; người mà
whose	của ai
who	ai, người nào, kẻ nào, người như thế nào
why	tại sao, vì sao
widely	nhiều, xa; rộng rãi
wide	rộng, rộng lớn
width	tính chất rộng, bề rộng
wife	vợ
wildly	dại, hoang
wild	dại, hoang
willing	bằng lòng, vui lòng, muốn
will	sẽ; ý chí, ý định
window	cửa sổ
wind	gió, quấn lại, cuộn lại
wine	rượu, đồ uống
wing	cánh, sự bay, sự cất cánh
winner	người thắng cuộc
winning	đang dành thắng lợi, thắng cuộc
winter	mùa đông
win	chiếm, đọat, thu được
wire	dây (kim loại)
wise	khôn ngoan, sáng suốt, thông thái
wish	mong muốn; sự mong ước, lòng mong muốn
withdraw	rút, rút khỏi, rút lui
within	trong vong thời gian, trong khoảng thời gian
without	không, không có
with	với, cùng 
witness	sự làm chứng, bằng chứng; chứng kiến, làm chứng
woman	đàn bà, phụ nữ
wonderful	phi thường, khác thường, kỳ diệu, tuyệt vời
wonder	ngạc nhiên, lấy làm lạ, kinh ngạc
wooden	làm bằng gỗ
wood	gỗ
wool	len
word	từ
worker	người lao động
working	sự làm, sự làm việc
work	làm việc, sự làm việc
world	thế giới
worried	bồn chồn, lo nghĩ, tỏ ra lo lắng
worrying	gấy lo lắng, gây lo nghĩ
worry	lo lắng, suy nghĩ; sự lo lắng, suy nghĩ
worse	xấu
worship	sự tôn thờ, sự tôn sùng; thờ, thờ phụng, tôn thờ
worst	xấu nhất
worth	đáng giá, có giá trị
would	quá khứ của will
wounded	bị thương
wound	vết thương; làm bị thường, gây thương tích
wrapping	vật bao bọc, vật quấn quanh
wrap	gói, bọc, quấn
wrist	cổ tay
writer	người viết
write	viết
writing	sự viết
written	viết ra, được thảo ra
wrongly	một cách bất công, không đúng
wrong	sai
yard	lat, thước Anh (bằng 0, 914 mét)
yawn	há miệng; cử chỉ ngáp
yeah	vâng, ừ
year	năm
yellow	vàng; màu vàng
yesterday	hôm qua
yes	vâng, phải, có chứ
yet	hãy cỏn, còn nữa; như mà, xong, tuy thế
young	trẻ, trẻ tuổi, thanh niên
yourself	tự anh, tự chị, chính anh, chính mày, tự mày, tự mình
yours	cái của anh, chị,của các anh, các chị
your	của anh, của chị, của các anh, của các chị, …
youth	tuổi trẻ, tuổi thanh niên, tuổi niên thiếu
you	anh, chị, ông, bà, ngài, các anh, các chị...
zero	số không
